Order_ID,Postal_Code,Longitude,Latitude
315,238839,103.8450727,1.3008
316,238863,103.8339419,1.3045
317,238997,103.8396074,1.292
318,239003,103.839405,1.2915
319,239107,103.8396053,1.2976
320,239219,103.8324,1.2993
321,239225,103.8327038,1.2985
322,239334,103.8394524,1.2942
323,239435,103.8326239,1.2947
324,239537,103.8390585,1.2983
325,239845,103.8381191,1.2979
326,239928,103.8440048,1.2932
327,247692,103.8117759,1.3055
328,247696,103.8095261,1.3042
329,247733,103.8307008,1.2943
330,247767,103.8308618,1.294
331,247771,103.8309406,1.2936
332,247775,103.8310265,1.2934
333,247966,103.8165698,1.292
334,247975,103.8146732,1.2986
335,248035,103.8162944,1.3031
336,248046,103.8139767,1.3025
337,248093,103.8056546,1.3039
338,248097,103.8058035,1.3034
339,248119,103.8049139,1.3041
340,248201,103.8272318,1.2961
341,248301,103.8300994,1.2953
342,248366,103.8291036,1.2931
343,248412,103.8067752,1.3064
344,248415,103.806341,1.3066
345,248486,103.8129435,1.2986
346,248527,103.8070789,1.3058
347,248546,103.8074341,1.3011
348,248554,103.8080232,1.3075
349,248614,103.8046204,1.3019
350,248680,103.8260473,1.3017
351,248690,103.8272384,1.3013
352,248704,103.827897,1.3021
353,248705,103.8279666,1.3022
354,248736,103.8257205,1.2953
355,248772,103.8203102,1.2949
356,248863,103.8246655,1.3013
357,248924,103.8136293,1.297
358,248927,103.8121336,1.2981
359,248929,103.8117338,1.2985
360,248969,103.8297583,1.2964
361,249138,103.8290704,1.3024
362,249155,103.8272197,1.3021
363,249162,103.8268469,1.3018
364,249249,103.8278949,1.3018
365,249351,103.82708,1.3004
366,249499,103.8039476,1.3102
367,249720,103.8279519,1.3062
368,249770,103.8210653,1.2996
369,249900,103.8246324,1.2955
370,249970,103.8223236,1.2976
371,257606,103.82338,1.317
372,257747,103.8074654,1.3106
373,257748,103.8074018,1.3107
374,257766,103.8077003,1.3118
375,257854,103.8261499,1.3166
376,257940,103.8256242,1.3155
377,257945,103.8254718,1.3149
378,258026,103.8060046,1.3111
379,258098,103.8247618,1.3065
380,258187,103.8287395,1.3183
381,258415,103.8220404,1.3126
382,258774,103.8135095,1.3216
383,258796,103.8135239,1.3207
384,258856,103.8071737,1.308
385,258995,103.8104308,1.3181
386,259096,103.8247063,1.3138
387,259101,103.8242513,1.3141
388,259121,103.8232525,1.3133
389,259177,103.8245483,1.3125
390,259186,103.823948,1.3136
391,259240,103.8096022,1.3198
392,259426,103.8309789,1.3099
393,259449,103.81923,1.3149
394,259546,103.8220464,1.3204
395,259672,103.8125139,1.3158
396,259699,103.8363209,1.3152
397,259765,103.8139744,1.3227
